Station_start,Station_end,Time,Adult,Senior,Standard,Student,WTCS,REF_STNSTART,Latitude_Start,Longitude_Start,REF_STNEND,Latitude_End,Longitude_End
BP10 Fajar,BP10 Fajar,0,0.77,0.54,1.4,0.37,0.63,BP10 ,1.384520796,103.7708268,BP10 ,1.384520796,103.7708268
BP10 Fajar,BP11  Segar,1,0.77,0.54,1.4,0.37,0.63,BP10 ,1.384520796,103.7708268,BP11 ,1.387772131,103.7696171
BP10 Fajar,BP12 Jelapang,2,0.77,0.54,1.4,0.37,0.63,BP10 ,1.384520796,103.7708268,BP12,1.386703025,103.7645235
BP10 Fajar,BP13  Senja,3,0.77,0.54,1.4,0.37,0.63,BP10 ,1.384520796,103.7708268,BP13 ,1.382692296,103.7623879
BP10 Fajar,BP14  Ten Mile Junction,5,0.77,0.54,1.4,0.37,0.63,BP10 ,1.384520796,103.7708268,BP14 ,1.380321008,103.760161
BP10 Fajar,BP2  South View,9,0.97,0.68,1.6,0.47,0.79,BP10 ,1.384520796,103.7708268,BP2 ,1.380298287,103.7453173
BP10 Fajar,BP3 Keat Hong,8,0.87,0.61,1.6,0.42,0.71,BP10 ,1.384520796,103.7708268,BP3 ,1.378602766,103.7490799
BP10 Fajar,BP4  Teck Whye,7,0.87,0.61,1.6,0.42,0.71,BP10 ,1.384520796,103.7708268,BP4 ,1.376684679,103.7537352
BP10 Fajar,BP5  Phoenix,5,0.77,0.54,1.4,0.37,0.63,BP10 ,1.384520796,103.7708268,BP5 ,1.378618844,103.7580559
BP10 Fajar,BP6 DT1 Bukit Panjang,4,0.77,0.54,1.4,0.37,0.63,BP10 ,1.384520796,103.7708268,BP6 ,1.377909898,103.763034
